100_0.2, 0
100_0.4, 0
100_0.6, 0
100_0.8, 0
100_1.0, 0
150_0.2, 0
150_0.4, 0
150_0.6, 0
150_0.8, 0
150_1.0, 0
200_0.2, 0
200_0.4, 0
200_0.6, 0
200_0.8, 0
200_1.0, 0
250_0.2, 0
250_0.4, 0
250_0.6, 0
250_0.8, 0
250_1.0, 14
300_0.2, 0
300_0.4, 0
300_0.6, 1
300_0.8, 1
300_1.0, 1
350_0.2, 0
350_0.4, 0
350_0.6, 1
350_0.8, 1
350_1.0, 1
400_0.2, 0
400_0.4, 1
400_0.6, 1
400_0.8, 1
400_1.0, 2
450_0.2, 0
450_0.4, 1
450_0.6, 2
450_0.8, 2
450_1.0, 3
500_0.2, 0
500_0.4, 1
500_0.6, 2
500_0.8, 3
500_1.0, 3
550_0.2, 0
550_0.4, 1
550_0.6, 2
550_0.8, 3
550_1.0, 4
600_0.2, 1
600_0.4, 2
600_0.6, 3
600_0.8, 4
600_1.0, 5
650_0.2, 1
650_0.4, 2
650_0.6, 4
650_0.8, 5
650_1.0, 7
700_0.2, 1
700_0.4, 3
700_0.6, 4
700_0.8, 6
700_1.0, 7
750_0.2, 1
750_0.4, 3
750_0.6, 5
750_0.8, 7
750_1.0, 9
800_0.2, 1
800_0.4, 4
800_0.6, 6
800_0.8, 8
800_1.0, 11
850_0.2, 2
850_0.4, 4
850_0.6, 7
850_0.8, 9
850_1.0, 12
900_0.2, 2
900_0.4, 5
900_0.6, 8
900_0.8, 11
900_1.0, 14
950_0.2, 2
950_0.4, 6
950_0.6, 10
950_0.8, 12
950_1.0, 27
