100  0,2    0
100  0,4    0
100  0,6    0
100  0,8    0
100  1,0    0
150  0,2    2
150  0,4    4
150  0,6    0
150  0,8    0
150  1,0    0
200  0,2    0
200  0,4    0
200  0,6    0
200  0,8    0
200  1,0    0
250  0,2    0
250  0,4    0
250  0,6    0
250  0,8    0
250  1,0    0
300  0,2    0
300  0,4    0
300  0,6    0
300  0,8    0
300  1,0    0
350  0,2    0
350  0,4    1
350  0,6    1
350  0,8    0
350  1,0    0
400  0,2    1
400  0,4    1
400  0,6    1
400  0,8    1
400  1,0    0
450  0,2    1
450  0,4    2
450  0,6    2
450  0,8    1
450  1,0    1
500  0,2    1
500  0,4    2
500  0,6    2
500  0,8    1
500  1,0    1
550  0,2    2
550  0,4    3
550  0,6    3
550  0,8    2
550  1,0    1
600  0,2    2
600  0,4    3
600  0,6    3
600  0,8    2
600  1,0    1
650  0,2    3
650  0,4    4
650  0,6    4
650  0,8    3
650  1,0    2
700  0,2    3
700  0,4    5
700  0,6    5
700  0,8    3
700  1,0    2
750  0,2    4
750  0,4    5
750  0,6    6
750  0,8    4
750  1,0    2
800  0,2    4
800  0,4    6
800  0,6    6
800  0,8    5
800  1,0    3
850  0,2    5
850  0,4    7
850  0,6    8
850  0,8    5
850  1,0    3
900  0,2    7
900  0,4    9
900  0,6    8
900  0,8    6
900  1,0    4
950  0,2    7
950  0,4    9
950  0,6    9
950  0,8    7
950  1,0    4
